time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.610622	0.444858	2.6463	-0.172395	-0.140177	radar	211.333	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.777686	0.46578	2.82201	-0.144917	-0.113074	lidar	7.67013	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.03744	0.437441	4.62406	-0.113437	-0.0636564	radar	13.3014	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.31725	0.447047	4.83019	-0.0924294	-0.046286	lidar	7.37688	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.6042	0.46129	5.33571	-0.0523256	0.00451086	radar	2.01231	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.91766	0.476432	5.48099	-0.0349912	0.0183525	lidar	5.38283	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.1643	0.529247	5.19617	0.0233267	0.097195	radar	3.16755	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.46	0.555603	5.29629	0.0381062	0.106625	lidar	2.64813	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.72848	0.581529	5.27515	0.0542303	0.122312	radar	0.57619	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.99497	0.60287	5.28337	0.0645277	0.128823	lidar	0.0774449	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.27518	0.564194	5.25872	0.0278438	0.0528168	radar	2.92572	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.59688	0.524962	5.41502	-0.00940913	-0.0225909	lidar	7.15946	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.88151	0.560223	5.48158	0.0145653	0.0233354	radar	2.0369	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.18122	0.566193	5.54693	0.0145836	0.0201492	lidar	0.886313	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.44203	0.59586	5.24988	0.0321683	0.0506475	radar	1.11879	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.63972	0.679393	5.08925	0.0897515	0.15665	lidar	7.39363	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.89573	0.684516	4.91524	0.0844864	0.131713	radar	1.46176	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.20658	0.686254	5.07212	0.0727488	0.0963969	lidar	5.35797	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.46856	0.697179	5.34434	0.072114	0.086935	radar	1.0797	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.78474	0.710257	5.46355	0.068417	0.0716353	lidar	3.03358	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.02783	0.651085	5.02622	0.0216236	-0.0200915	radar	3.88825	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.28507	0.745667	5.04983	0.078595	0.0828576	lidar	2.80462	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.5373	0.778019	5.03031	0.0905114	0.0964793	radar	0.167121	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.78766	0.7732	5.02728	0.0771532	0.0650447	lidar	0.230548	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.03291	0.758971	4.76093	0.0584776	0.02706	radar	1.63758	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.24345	0.836327	4.70772	0.102226	0.0987645	lidar	1.61504	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.54488	0.850227	5.33192	0.0961115	0.0798628	radar	4.92416	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.81154	0.821993	5.32529	0.0652366	0.0217056	lidar	0.719453	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.06222	0.839166	4.91123	0.0662742	0.0207036	radar	2.16181	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.29647	0.851162	4.887	0.0651545	0.0172017	lidar	0.133434	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.56778	0.948543	5.42611	0.116924	0.101457	radar	5.20476	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8189	1.00786	5.38986	0.140035	0.131108	lidar	0.414263	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.1134	1.05077	5.32907	0.147855	0.13311	radar	6.97974	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35573	1.07767	5.27726	0.147885	0.122579	lidar	0.586562	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.63752	1.16143	5.3492	0.179432	0.163815	radar	4.14413	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91982	1.29841	5.4315	0.23924	0.246903	lidar	2.397	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1664	1.39927	5.02116	0.276917	0.290688	radar	3.65317	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3789	1.46986	4.95803	0.294394	0.295827	lidar	0.911917	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.611	1.55504	4.73701	0.318486	0.312271	radar	1.51914	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
